category,compatibility,languages,name,price,rating,size
 Education, OS X 10.9  , English,Japanese FlashCards,$14.99 ,5, 6.5 MB
 Education, OS X 10.6 ," English, Japanese",Japanese Dictionaries,$2.99 ,3, 139.8 MB
 Education, OS X 10.11  , English,JAPANESE - so simple! | PrologDigital,Free,, 3.8 MB
 Reference, OS 10.12  , English,Jaenre,,, 20.2 MB
 Games, OS X 10.6.6 ," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Jack's House Free,Free,5, 42.3 MB
 Games, OS X 10.6.6 ," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Jack's House,$2.99 ,3, 52.4 MB
 Education, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokm̴l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",J'aime lire store,Free,, 62.3 MB
 Education, OS X 10.11  , English,J'aime l'h̩breu | Prolog,Free,, 3.5 MB
 Education, OS X 10.9.0  ," English, French, German, Portuguese, Russian, Spanish",Italian Vocabulary Builder,$8.99 ,, 457 MB
 Reference, OS X 10.10  ," English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokm̴l, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Italian Russian dictionary,$4.99 ,, 2.7 MB
